[08:48:53]设备[ID107Plus HTR]F4:13:79:5A:08:80连接了.....
[08:50:25] 46 84 f5 84 fa ca 88 93 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 f7 84 ee ca 88 94 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 dc 84 c5 ca 88 95 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 ab 84 93 ca 88 96 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 71 84 64 ca 88 97 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 5a 84 50 ca 88 98 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 47 84 43 ca 88 99 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 42 84 48 ca 88 9a 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 51 84 5b ca 88 9b 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 66 84 6b ca 88 9c 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 6d 84 66 ca 88 9d 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 53 84 3a ca 88 9e 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:26] 46 84 1e 84 08 ca 88 9f 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:27] 46 83 f7 83 ed ca 88 a0 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:27] 46 83 e7 83 e1 ca 88 a1 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:27] 46 83 dd 83 da ca 88 a2 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:27] 46 83 d8 83 d8 ca 88 a3 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:27] 46 83 da 83 de ca 88 a4 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:27] 46 83 e3 83 e9 ca 88 a5 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:27] 46 83 ef 83 f0 ca 88 a6 69 68 8a 69 68 8a 69 68 8a 68 8a 46 
[08:50:27] 46 83 ec 83 e0 ca 88 a7 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:27] 46 83 cc 83 b3 ca 88 a8 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:27] 46 83 9a 83 85 ca 88 a9 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:27] 46 83 73 83 67 ca 88 aa 69 68 8a 69 68 8a 6a 68 8a 6a 68 8a 
[08:50:27] 46 83 61 83 5e ca 88 ab 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:27] 46 83 5d 83 5d ca 88 ac 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:28] 46 83 5d 83 5e ca 88 ad 6a 68 8a 6a 68 8a 6a 68 8a 6a 68 8a 
[08:50:28] 46 83 5f 83 61 ca 88 ae 6a 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 63 83 67 ca 88 af 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 6b 83 69 ca 88 b0 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 62 83 55 ca 88 b1 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 43 83 2d ca 88 b2 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 1b 83 0e ca 88 b3 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 07 83 03 ca 88 b4 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 01 83 01 ca 88 b5 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 02 83 03 ca 88 b6 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 04 83 06 ca 88 b7 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 09 83 0d ca 88 b8 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 16 83 1f ca 88 b9 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:28] 46 83 23 83 20 ca 88 ba 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 83 14 83 04 ca 88 bb 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 82 f2 82 e2 ca 88 bc 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 82 ce 82 cc ca 88 bd 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 82 cd 82 cf ca 88 be 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 82 d1 82 d3 ca 88 bf 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 82 d5 82 d9 ca 88 c0 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 82 de 82 e6 cb 88 c1 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 82 ed 82 f4 cb 88 c2 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 82 f8 82 f4 cb 88 c3 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 82 ea 82 dc cb 88 c4 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:29] 46 82 cf 82 c5 cb 88 c5 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:30] 46 82 bd 82 b9 cb 88 c6 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:30] 46 82 b6 82 b8 cb 88 c7 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:30] 46 82 bb 82 c0 cb 88 c8 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:30] 46 82 c5 82 c9 cb 88 c9 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
[08:50:30] 46 82 cc 82 d2 cb 88 ca 69 68 8a 69 68 8a 69 68 8a 69 68 8a 
